Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
1563;;;;;;;;;;;;;"8,96";"8,96";"8,96"
1566;;;;;;;;;;;;;"5,92";"5,92";"5,92"
1573;;;;;;;;;;;;;"16,58";"16,58";"16,58"
1579;;;;;;;;;;0;0;0;;;
1580;0;0;0;"7,18";"7,18";"7,18";0;0;0;;;;0;0;0
1627;;;;;;;;;;;;;15;15;15
1629;;;;;;;;;;;;;"8,52";"8,52";"8,52"
1636;;;;;;;;;;;;;8.620.000.000.000.000;8.620.000.000.000.000;8.620.000.000.000.000
1642;;;;;;;;;;"10,78";"10,78";"10,78";;;
1644;"2,65";0;"5,3";"5,46";"5,46";"5,46";"8,3";"8,3";"8,3";;;;8.120.000.000.000.000;8.120.000.000.000.000;8.120.000.000.000.000
1690;;;;;;;;;;;;;0;0;0
1692;;;;;;;;;;;;;"5,1";"5,1";"5,1"
1700;;;;;;;;;;;;;"16,4";"16,4";"16,4"
1705;;;;;;;;;;"8,4";"8,4";"8,4";;;
1707;"14,66";"14,66";"14,66";"5,26";"5,26";"5,26";7.859.999.999.999.990;7.859.999.999.999.990;7.859.999.999.999.990;;;;"7,76";"7,76";"7,76"
1753;;;;;;;;;;;;;"8,58";"8,58";"8,58"
1756;;;;;;;;;;;;;0;0;0
1763;;;;;;;;;;;;;"9,24";"9,24";"9,24"
1769;;;;;;;;;;"5,06";"5,06";"5,06";;;
1770;"10,91";70.600.000.000.000.000;"14,76";0;0;0;"7,42";"7,42";"7,42";;;;"6,5";"6,5";"6,5"
1816;;;;;;;;;;;;;"8,9";"8,9";"8,9"
1819;;;;;;;;;;;;;"7,1";"7,1";"7,1"
1826;;;;;;;;;;;;;13.100.000.000.000.000;13.100.000.000.000.000;13.100.000.000.000.000
1832;;;;;;;;;;0;0;0;;;
1833;"11,68";"10,86";"12,5";0;0;0;0;0;0;;;;15.819.999.999.999.900;"15,82";"15,82"
1880;;;;;;;;;;;;;19;19;19
1882;;;;;;;;;;;;;"5,66";"5,66";"5,66"
